,text_tag
0,COMPLAINT CONDITIONS ARE STILL OPEN
1,ORIGINAL COMPLAINT IS STILL OPEN
2,OUTCOME UNKNOWN CLOSED
3,NOT ABLE TO GAIN ACCESS
4,CONDITIONS WERE CORRECTED
5,RESTORED
6,VIOLATIONS WERE ISSUED
7,NO VIOLATIONS WERE ISSUED
8,COMPLAINT WAS ADDRESSED
9,VIOLATION WAS ISSUED
10,VIOLATIONS WERE PREVIOUSLY ISSUED
11,IDENTIFIED POTENTIAL LEAD
12,CLOSED THIS COMPLAINT ADMINISTRATIVELY
13,SECTION 8 FAILURE WAS ISSUED
14,LITERATURE WILL BE EMAILED WITHIN 24 HOURS
15,LITERATURE HAS BEEN MAILED
16,DID NOT HAVE ENOUGH TIME TO INSPECT
